id,name,desc,reviews
1430022,"2003 Craigellachie 16 Year Old ""Old Particular"" K&L Exclusive Single Sherry Butt Cask Strength Speyside Single Malt Scotch Whisky (750ml) (Pre-Arrival)","One of the most distinctive malts in all of Scotland. Craigellachie utilizes worm tubs with a very low copper content that, in combination with very long fermentation times, contributes to a rare and desirable sulfurous trait in whisky (not to be confused with the strong and undesirable sulfurous notes occasionally found in older sherry butts that were treated to prevent spoilage). The end result is a pungent aroma that when young is often described as meaty or like boiled cabbage, but when matured works its way into complex sweet fragrances such as pineapple and other tropical fruits and floral notes. These beautiful flavors offer aromatics in combination with palate weight and make Craigellachie a prized malt for blenders and single malt enthusiasts alike. When in combination with sherried wood, there is nothing else like it. The tropical flavors mingle with the nuttiness of the sherry to make a whisky unmatched in flavor, weight, and aromatics. These rare casks typically command astronomical prices, but as always, thanks to our long standing direct relationships in Scotland, we’ve been able to secure a cask or two that offer unparalleled value in the single malt category.

                        |The item you have chosen can be pre-ordered. Below is the current quantity available for this pre-arrival/special order product within our database. It is never more than five minutes old. Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.|This product is expected to arrive for shipment or pickup by Monday, November 30, 2020.",
1388656,"Lagavulin 9 Year Old ""Game of Thrones House Lannister"" Islay Single Malt Scotch Whisky (750ml) (Previously $70)","Lagavulin at an odd age, representing House Lannister and showcasing its lion sigil. The nose is floral, with rose hips, toffee, and fragrant peat notes. Full on the palate, with toffee apples, cinnamon, earthy peat, and smoked haddock in salted butter. The smoked fish combines with fennel in the lengthy finish. (GS, Spring 2019)
        |
                            Part of Diageo's line of eight single malt whiskies to commemorate the eighth and final season of HBO's hit television series,""Game of Thrones"", that's based on the series of novels, ""A Song of Ice and Fire"", by George R.R. Martin. The Lannisters are known for their meticulousness and tenacity, traits also embodied by the legendary distillery Lagavulin. Taste note: ""Lagavulin 9 Year Old is a roaring single malt that leaves an intensely smoky flavour in every sip. The golden liquid recalls the Lannisters’ riches and comes from being exclusively matured in first fill ex-Bourbon casks. The nose is characteristic of Lagavulin and bursts with sweet smoke, with a slightly zestier, maritime scent than other expressions. On the palate it opens with smoky, caramelised banana, burnt marshmallow and vanilla, fading into a salted caramel finish.""

                        |The item you have chosen is in stock, and has inventory in our warehouse and one or more stores. Below is the current quantity on hand information for this product within our database.  It is never more than five minutes old.  Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.",
1494702,"1995 Aberlour 25 Year Old ""Old Particular"" K&L Exclusive Single Hogshead Cask Strength Speyside Single Malt Scotch Whisky (750ml) (Pre-Arrival)","The gorgeous little distillery at the entrance of the tiny town of the same name has quietly become one of the Scotch-loving world's darlings. The distillery, owned by blending giant Chivas Brothers (Pernod Ricard), was built in 1879 and features two 21 thousand-liter wash stills and a pair each of spirits stills, 20 and 15 thousand liters. The distillery's name means ""mouth of the babbling brook,"" and indeed a stream meanders next to the distillery, but the distillery's water comes from Ben Rinnes like many of the other distilleries around the famous mountain. We've never been offered a barrel of Aberlour, much less one of such astonishing age. While the distillery itself has been focused on NAS bottlings like their popular A'Bunadh series, the older expressions have become extremely rare. This single hogshead was selected not only for the incredible provenance and rarity, but also its extreme deliciousness. Unlike many modern Aberlours, which have become synonymous with hardcore sherry, this is much more nuanced and idiosyncratic. While by no means a value buy, it does represent a malt that is otherwise unobtainable at nearly any price and its inherent quality and unique character easily merit the price of entry. Only 184 bottles came out of this old hogshead. It was bottled at cask strength without chill-filteration or coloring of any kind.
                        |The item you have chosen can be pre-ordered. Below is the current quantity available for this pre-arrival/special order product within our database. It is never more than five minutes old. Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.|This product is expected to arrive for shipment or pickup by Monday, November 30, 2020.",
1215038,"Suntory ""Hibiki Japanese Harmony"" Japanese Whisky (750ml)","The newest blended whisky offering from Hibiki is burnished gold in the glass and has a bold aroma that mixes vanilla, fresh pear and a hint of smoke. The smokiness comes forward at the first sip, wrapping around a core of oak and vanilla custard and finishing long, with a mouthwatering bitter chocolate note. *Best of 2016* (KN)
        
(3/2016)    |
        
        Poised and complex, with typically lifted fruitiness: strawberry ice cream, pineapple, peach, balanced by delicate oak, bamboo shoot-like delicacy, then lemon. The palate is more rounded than that very forward nose, with toffee notes adding some weight. A touch of smoke comes along in the mid-palate, before fruits and caramelized coffee biscuits. Water allows the flavors to flood the palate. Exemplary blending skills and classically Hibiki. (DB, Winter 2015)
        
(12/2015)    |
        
        You can’t be a Japanese whisky enthusiast without having noticed that there’s a shortage of the stuff. What once was readily available is now hard to find. What once was affordable now costs various bodily limbs. It is due to more than a fad. The best Japanese whisky is remarkable stuff, and none are better than the top single malts from Suntory, Yamazaki, Hakushu and the blended whisky Hibiki. Hibiki comes in 12-, 17- and 21-year-old expressions, but even the youngest of these is now allocated. Harmony, the newest release, carries no age statement, indicating that it contains younger whiskies than other bottlings. Nevertheless, this is a welcome concession, with Suntory’s classic sense of balance, nuance and delicacy. *Best of 2015* (JM)
        
(11/2015)    |
                            *96 points, Ultimate Spirits Challenge Top 100 of 2020* The newest incarnation of Suntory's hugely popular Hibiki series, this time without an age statement attached. The same soft, mellow, vanilla-laden flavor is still here, however. It's a true harmony of pure Hibiki flavor.
                        |The item you have chosen is in stock, and has inventory in our warehouse and one or more stores. Below is the current quantity on hand information for this product within our database.  It is never more than five minutes old.  Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.","This whisky contains single malt from both Yamazaki and Hakushu, so there are chops to this blend. Toasted grain, vanilla syrup, new wood, and light tropical fruit notes on the nose with just a touch of spice to keep things playful. The palate has more caramel and honey characteristics balanced by more tingly spice. There's a great salinity here as well with a gentle medicinality and robust malt character.
            |
                I was particularly excited to try the 'Hibiki Harmony' since it seems all of the Japanese whisky's are becoming so popular they sell out before most people get a crack at them. There is a definite sherry note present on the nose, and the palate is light, yet rich simultaneously. The Japanese whisky's generally seem to show as more elegant and prettier than those from other countries and this one fits that description perfectly. Though we did receive good stock this time, it won't last with the following the 'Harmony' has. Don't miss this opportunity because it probably won't come again and it's only going to become harder to acquire. 
            |
                If you haven't had Hibiki Harmony recently, you must retry it. In all honesty, it's not something we've opened for the staff here in a long time since it is so tightly allocated and sells out so quickly. It just wasn't necessary. With our most recent drop of one of the most asked for Japanese whiskies on the market, I decided it was time to make sure the staff all knew what exactly we had. I must say, I was blown away by the richness in particular. The flavors are a delight, crisp apple, fresh stone fruits, a touch of piquant pepper and a surprising amounts of vanilla and caramel. The palate has much more weight, presumably from a higher malt content, than I recall. It coats the tongue, but is never heavy. The finish is clean and bright and decidedly entices you to have another sip. We spend most of the year out of stock on this whisky just sadly telling customers, ""no, it's not available."" Today, we are sitting flush and want to let everyone know it's here. The trick is, with the insane popularity of all true Japanese whisky, it won't be here for long."
1421728,"2005 Laphroaig 13 Year Old ""Chieftain's"" K&L Exclusive Single Sherry Butt Cask Strength Unchillfiltered Islay Single Malt Scotch Whisky (750ml)","The magical distillery on the south shore of Islay, like all south shore distillers, is quite unlike any other. But Laphroaig has a certain place in the hearts of the hardest core peat lovers. They're the last distiller down there to malt a portion of their barley on site. Their complex system of tiny stills create the most peculiar and enticing peated spirit in the world. The quality and consistency of their casks is second to none. But over the last decade, what was once a staple in the independent bottling repertoire has completely disappeared. Laphroaig is simply not selling casks any longer. And when we do find casks they're usually in very inactive hogsheads and declassified to their trade name, ""Williamson."" Now that's not a huge problem because Laphroaig always tastes good, but bottlers can't replace even those few casks the prices have gone absolutely bonkers. Signatory recently bottled a sister cask those we sold here just three years ago for $200, Laphroaig from the Fall of 1997, for $700. And by God those bottles sell. But a beautiful butt for a not completely abhorrent price, we jumped all over it. Thank the Lord of the Isles that we did, as it's a complete and utter masterpiece. Some purists askew the idea of Laphroaig in active sherry, but much of the experience is limited to low proof distillery bottlings and finishes. It's truly a stupendous find and going to be one of those casks that people remember for years to come. Collectors and drinkers alike take note
                        |The item you have chosen is in stock, and has inventory in our warehouse and one or more stores. Below is the current quantity on hand information for this product within our database.  It is never more than five minutes old.  Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.","Laphroaig very infrequently releases anything new, let alone a single cask of  something new. Fans of the classic Laphroaig style will not be disappointed here, but will also be pleased to find new tastes and expressions. Rich texture and creamy peat notes get a kick from a slight jalapeno pepper spice in the back.  This extremely limited and special release could retail for much higher given its scarcity. Lucky for us it doesn't.  
            |
                Every so often time stops, a dizzying array of pieces fall into place, and you're left with one special moment. Such is drinking this masterpiece. Tragically, Chieftain's is going away. One of the most storied and high quality bottlers in Scotland has pulled out all of the stops for it's swan song. Aged to perfection this cask toes the line perfectly between every facet of Laphroaig. It's equally salty, malty, fruity, floral, and smoky in that amazing way that only Laphroaig can be. In addition there is a splendid cigar box spice provided by an amazing barrel of the highest quality and perfectly matched to the whisky. Not overpowering, it is just robust enough to blend seamlessly with everything on offer from the spirit. My best Laphroaig drinking experience was having John Campbell, Distillery Manager, walk me through the classic 10 year, a single cask bourbon barrel roughly 14 years old, and the legendary 30 year. The insights those 3 carefully chosen whiskies provided into the soul of Laphroaig is something I will never forget. It set off a personal and more indepth study of the whisky behind the smoke and iodine that the distillery is so famous for. This one cask highlights the traits that makes the the malt from this special place so complete and such a rarity in the flavor spectrum without giving up that core profile. Tasting this malt and then going back to Laphraoig 10 will forever unlock for the drinker the often overlooked and underappreciated glory of the classic expression.
            |
                Since barrels of single malt age differently and produce a range of flavors it is always a treat to taste something and see the variation on a theme  from the regular releases.This tasty barrel is very interesting and fantastic. The nose has a burst of smoke that is almost pretty ( a word not usually associated with Laphroaig) with toasty undertones. In the mouth it is classic Laprhoaig with smoke , iodine, salt and malt. With water it opens up and becomes softer. There is a long finish with an interesting touch of spice.This single barrel is unique and interesting.
            |
                If my family drank, this is a bottle I’d take with me to our holiday dinners. This bottle screams autumn with notes of ume plum, burnt caramel, oak spice, and cinnamon graham crackers on the nose. The palate is fatty, savory, and sweet and I can imagine it going perfectly with turkey and stuffing. It’s warm and inviting, I just want to cuddle up with it next to a fire and look longingly at the glass.
            |
                Laphroaig is one of those incredible things that is both polarizing and unifying, sometimes between the same people at the same exact time. I personally adore almost everything I taste from this special distillery. Yes there are some underwhelming distillery bottlings that might feel a bit over manipulated, but the whisky is never ever bad. The great heights that can be achieved by Laphroaig are truly unbelievable. And uniquely, some of the very best from this special distillery are not even very old. The very best Laphroaig I've ever had the great pleasure of tasting are no more than 10 years old, given they'd have been distilled 40 or 50 years ago, but the fact remains that Laphroaig is often more special in its youth. For years Laphroaig has felt like a bit of a secret that you weren't sure you wanted to share with everyone you know. Particularly that was true of the special single casks that we'd come across in warehouses and whisky shops throughout Scotland. But in the current climate, where the distillery itself has no need or use for trading or brokering excess production, what was once a special secret to find and share is now an endangered species completely. So when we get offered casks like this we expect them to be unfathomably expensive. But even if this were twice the price I'd still have bought it. This is that perfectly idiosyncratic Laphroaig, apt to have you disagreeing with yourself. Deep wafting peat, a mix of bitter herbs, salty ocean trawler, candied apricots and diesel engine. Old leather furniture, Seville oranges, not quite tropical, but not so severe as it might be. On the palate a building sweetness envelopes the powerful smoke as it wafts toward the olfactory system. Dark chocolate, salted plums, menthol and magic. A total dream and a secret that deserves to be kept."
1504543,"Compass Box ""The Peat Monster - Arcana"" Blended Malt Scotch Whisky (750ml)","|The item you have chosen is in stock, and has inventory in our warehouse and one or more stores. Below is the current quantity on hand information for this product within our database.  It is never more than five minutes old.  Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.",
1499778,"1997 Hector Macbeth (Glenfiddich) 23 Year Old ""Hepburn's Choice"" K&L Exclusive Single Sherry Butt Finish Cask Strength Blended Malt Scotch Whisky (750ml) (Pre-Arrival)","One of the original teaspooned malts here at K&L that longtime customers may already be familiar with is Hector Macbeth. While nearly all of this year's blended malts had another distillers spirit dropped into it right before bottling, this was teaspooned at the time of production by the original maker with the intention of being sold off to the independent market. This is really how teaspooning came to be a thing in the first place. Blue chip distilleries, like Glenfiddich in this case, don’t want a bunch of people trading on their name. They do however, still want to sell casks into the blending market to raise quick cash. While we don’t know what they put into the cask in this case (although my money is on the sister distillery next door - Balvenie) we do know that it tastes just like you’d expect sherry finished Glenfiddich at cask strength to taste. If you’ve ever had the excellent Glenfiddich 15 Year Sherry Solera bottling and thought, 'I wish this was full proof,' this is the malt for you. The extra 8 years of aging doesn’t hurt either.
                        |The item you have chosen can be pre-ordered. Below is the current quantity available for this pre-arrival/special order product within our database. It is never more than five minutes old. Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.|This product is expected to arrive for shipment or pickup by Monday, November 30, 2020.","The excellent Hector Macbeth has now become a staple on our shelves each year. It keeps getting older and more delicious, but we've managed to keep the price more or less the same. This year, things are a bit different. We started with the same well aged famous Speyside (teaspooned at birth), two of the standard hogsheads worth. We dumped those two barrels into a sherry butt. Now this wasn't any old sherry butt. Typically, when Scotch producers finish their products they'll use what are called ""seasoned"" sherry casks. These are created expressly for use in Scotch production and include the minimum required aging in  Jerez before being dumped and shipped to Scotland. It is truly the cask that is the commodity in this system. But in this case, the Laing's used an ex-sherry butt that previously held unpeated single malt for many years. The whisky spent three full years maturing in this gorgeous old barrel. This is pretty unusual for finishing and while it doesn't impart the same fresh wine flavors as the seasoned casks, there's still plenty of life in this old butt. The resulting whisky is less a finish and more a secondary maturation. Jim McEwan would have called it ACE'd, additional cask enhancement in his Murray McDavid, which he reserved for products finished for longer than a year typically. It was bottled exclusively for K&L. The nose is packed for of dark roasted malt, deep dark cocoa, wild honey and maple syrup. On the palate the great high proof doesn't overwhelm at all and even with a descent splash of water it still offers tons of texture and richness. The gorgeous maltiness of the spirit here is not totally masked by the sherry and I'm grateful for that as there's no question that this exceptional distillery is at its best unfiltered and cask strength. Expect some dried fruits and subtle exotic spice on the palate with the malt and sherry balancing out nicely for a long nutty finish. I think this will be many people's surprise favorite since it ticks so many boxes and the benefit of finishing here is that we have a nice supply of it for now. Of course if there real serious drinkers start bunkering it like the last one - even this relatively full sherry butt will be empty before we know."
1025202,"Glenfiddich 18 Year Old ""Small Batch Reserve"" Single Malt Scotch Whisky (750ml)","Aged for 18 years in former oloroso sherry and bourbon casks, the mild aroma has a distinct, sherry-like dried apricot note. The palate is relatively dry, with hints of cocoa, leather, stone fruit and clove. Adding water coaxes out more vanilla sweetness and hints of citrus, exiting dry and spiced. (KN)
        
(12/2017)    |
        
        This was aged in a mixture of bourbon and oloroso sherry casks, followed by a final spell of marrying in wooden tuns. Dried fruits, dark chocolate, figs, and cinnamon on the nose. The palate yields rich caramel and toffee-apple notes, plus ginger, cloves, and medium sherry. More dried fruits, cookies, and a sprinkling of allspice in the slightly smoky, medium to long finish. (GS, Fall 2018)

        |
                            The Glenfiddich 18 Year Old has a delightfully rich aroma reminiscent of ripe orchard fruit, spiced apples and robust oakiness. The palate is luxurious and warming, with dried fruit, candied zest and dates buoyed by subtle Spanish Oloroso wood notes.
                        |The item you have chosen is in stock, and there is inventory in our main warehouse. Below is the current quantity on hand information for this product within our database.  It is never more than five minutes old.  Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.",
1506045,"Macallan ""Edition No. 6"" Highland Single Malt Scotch Whisky (750ml)","|The item you have chosen is in stock, and has inventory in at least one of our retail stores. Below is the current quantity on hand information for this product within our database.  It is never more than five minutes old.  Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.",
1364563,"Kaiyo ""The Peated"" Mizunara Oak Japanese Whisky (750ml)","This is utterly unique; made from imported Scottish peated malt, it spends 2 years in madeira casks, then 6 years in mizunara casks. Light, clean, fruity refreshment: apple, white grape, lingering cigar smoke, coconut macaroons, and ample Japanese oak influence. Apple and watermelon flavors, developing a more sugary fruitiness of Life Savers hard candy, all brushed with gentle spice and a swish of smoke. Jonny McCormick (Summer 2019)
        |
                            Kaiyo is a negotiant bottler started by a drinks group led by former Asahi employee Mr. Watanabe. He was able to purchase ""teaspooned"" malt whisky barrels from an unnamed Japanese whisky supplier via his connections in the industry (""teaspooning"" is when a distiller adds a teaspoon of another whisky into the barrel before selling it, thus preventing the purchaser from claiming it as a single malt from that distillery). The whiskies are purchased as teaspooned new make (unaged distillates) and then put into Japanese Mizunara oak barrels from Ariake, considered one of the best manufacturers in the world (each new Mizunara barrel costs between $6,500 - $7,500). For those unfamiliar with the legend of Japanese Mizunara oak, it's become heralded in the whisky world both for the exotic flavors of incense, sandalwood, and coconut it passes along to the spirit as well as its expense. Difficult to cooper and notoriously inefficient as a vessel, editions of Yamazaki and Bowmore aged in Mizunara wood have sold at four figure prices, making the Kaiyo whiskies seem like a steal in comparison. You get an exotic note of tea and faint orange peel on the nose of the standard Kaiyo edition, but the soft and rather delicate palate brings more of the vanilla and oak character. The spices come out on the finish with lots of pepper and oolong. It's very Japanese in its restraint, graceful from front to back without any serious peaks or valleys. And of course, this bottling is beautifully peated!
                        |The item you have chosen is in stock, and has inventory in at least one of our retail stores. Below is the current quantity on hand information for this product within our database.  It is never more than five minutes old.  Additionally, our shopping cart looks at real time inventory so when you add an item to you cart we will do an immediate check of available inventory and alert you if there are any issues.","Yippy-Kaiyo!
This new peated expression from Kaiyo maintains the bottler’s search for balanced whiskies and graceful maturation techniques. The delicate wood grain of the Mizunara casks used for aging lends both flavor and finesse to this tasty spirit. At 92 proof with no chill filtration and the peat, this is a full-flavored dram, but no individual component overwhelms. The peat is definitely present, but it stays soft on the nose with subtle elements of chile spice with a particular restrained oak note along with floral scents. That oak comes up first on the palate but is quickly followed by the peat, maintaining the balance present in the nose. There’s a lovely vanilla cream and honey sweetness that fades into a very dry finish of that gentle lingering peat.
            |
                This instantly skyrocketed to my favorite of the 3 Kaiyo bottlings. The peat is just big enough to amp up everything else about the whisky but not overpower it. The first thing you notice is the incredible fruitiness of the spirit. Green apples stand out in a big way. The peat comes in a little bit later and takes the edge off of the sweet fruit. Salted caramel, sea spray, and other salty notes also hit it big on the nose. Perhaps this comes from the long ocean voyage the whiskey makes before bottling. The rocking of the ship and the intense humidity, pressure, and temperature changes from this trip allows for maximum contact and interaction between the juice and the world famous Mizunara Oak. The palate comes through with more cereal notes and lets the malt shine. The fruit dives into a more complex tropical set of flavors. Tons of coconut, pineapple, and sweet florals come out to play. The finish is quite long and presents really clean with just a graceful wafting smoke. All around a spectacular dram.
            |
                I tasted this product with and without water. I suggest a splash of water because it really opens it up and helps show what an tasty and interesting treat this is.There nice smoke notes in the nose. In the mouth it is soft, and like most Japanese malts on the light side. It is the unique and complex spice flavors that set this single malt apart from the crowd. Delicious and seductive."
